
0.90962962963 --- {'classify__C': 60.0, 'classify__tol': 0.001, 'classify__gamma': 1.1, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.90962962963 --- {'classify__C': 60.0, 'classify__tol': 0.0001, 'classify__gamma': 1.1, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.90962962963 --- {'classify__C': 61.0, 'classify__tol': 0.001, 'classify__gamma': 0.9, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.90962962963 --- {'classify__C': 61.0, 'classify__tol': 0.0001, 'classify__gamma': 0.9, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.90962962963 --- {'classify__C': 61.0, 'classify__tol': 0.1, 'classify__gamma': 1.1, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.90962962963 --- {'classify__C': 62.0, 'classify__tol': 0.01, 'classify__gamma': 0.9, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.90962962963 --- {'classify__C': 62.0, 'classify__tol': 0.1, 'classify__gamma': 1.1, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.90962962963 --- {'classify__C': 62.0, 'classify__tol': 0.001, 'classify__gamma': 1.2, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.90962962963 --- {'classify__C': 62.0, 'classify__tol': 0.0001, 'classify__gamma': 1.2, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.90962962963 --- {'classify__C': 63.0, 'classify__tol': 0.01, 'classify__gamma': 0.9, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.90962962963 --- {'classify__C': 64.0, 'classify__tol': 0.1, 'classify__gamma': 1.2, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.90962962963 --- {'classify__C': 65.0, 'classify__tol': 0.01, 'classify__gamma': 1.2, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.90962962963 --- {'classify__C': 66.0, 'classify__tol': 0.01, 'classify__gamma': 1.2, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.90962962963 --- {'classify__C': 66.0, 'classify__tol': 0.001, 'classify__gamma': 1.2, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.90962962963 --- {'classify__C': 66.0, 'classify__tol': 0.0001, 'classify__gamma': 1.2, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.90962962963 --- {'classify__C': 67.0, 'classify__tol': 0.0001, 'classify__gamma': 0.9, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.90962962963 --- {'classify__C': 67.0, 'classify__tol': 0.1, 'classify__gamma': 1, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.90962962963 --- {'classify__C': 67.0, 'classify__tol': 0.01, 'classify__gamma': 1.1, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.90962962963 --- {'classify__C': 67.0, 'classify__tol': 0.001, 'classify__gamma': 1.1, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.90962962963 --- {'classify__C': 67.0, 'classify__tol': 0.0001, 'classify__gamma': 1.1, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.90962962963 --- {'classify__C': 67.0, 'classify__tol': 0.001, 'classify__gamma': 1.2, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.90962962963 --- {'classify__C': 67.0, 'classify__tol': 0.0001, 'classify__gamma': 1.2, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.90962962963 --- {'classify__C': 68.0, 'classify__tol': 0.001, 'classify__gamma': 0.8, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.90962962963 --- {'classify__C': 68.0, 'classify__tol': 0.0001, 'classify__gamma': 0.8, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.90962962963 --- {'classify__C': 68.0, 'classify__tol': 0.1, 'classify__gamma': 0.9, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.90962962963 --- {'classify__C': 68.0, 'classify__tol': 0.01, 'classify__gamma': 0.9, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.90962962963 --- {'classify__C': 68.0, 'classify__tol': 0.01, 'classify__gamma': 1.1, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.90962962963 --- {'classify__C': 68.0, 'classify__tol': 0.001, 'classify__gamma': 1.1, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.90962962963 --- {'classify__C': 68.0, 'classify__tol': 0.0001, 'classify__gamma': 1.1, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.90962962963 --- {'classify__C': 68.0, 'classify__tol': 0.01, 'classify__gamma': 1.2, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.90962962963 --- {'classify__C': 68.0, 'classify__tol': 0.001, 'classify__gamma': 1.2, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.90962962963 --- {'classify__C': 68.0, 'classify__tol': 0.0001, 'classify__gamma': 1.2, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.90962962963 --- {'classify__C': 69.0, 'classify__tol': 0.01, 'classify__gamma': 0.9, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.90962962963 --- {'classify__C': 69.0, 'classify__tol': 0.0001, 'classify__gamma': 0.9, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.90962962963 --- {'classify__C': 69.0, 'classify__tol': 0.01, 'classify__gamma': 1.2, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.90962962963 --- {'classify__C': 69.0, 'classify__tol': 0.001, 'classify__gamma': 1.2, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.90962962963 --- {'classify__C': 69.0, 'classify__tol': 0.0001, 'classify__gamma': 1.2, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.90962962963 --- {'classify__C': 70.0, 'classify__tol': 0.001, 'classify__gamma': 0.8, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.90962962963 --- {'classify__C': 70.0, 'classify__tol': 0.0001, 'classify__gamma': 0.8, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.90962962963 --- {'classify__C': 70.0, 'classify__tol': 0.01, 'classify__gamma': 0.9, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.90962962963 --- {'classify__C': 70.0, 'classify__tol': 0.001, 'classify__gamma': 0.9, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.90962962963 --- {'classify__C': 70.0, 'classify__tol': 0.0001, 'classify__gamma': 0.9, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.90962962963 --- {'classify__C': 71.0, 'classify__tol': 0.001, 'classify__gamma': 0.8, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.90962962963 --- {'classify__C': 71.0, 'classify__tol': 0.0001, 'classify__gamma': 0.8, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.90962962963 --- {'classify__C': 71.0, 'classify__tol': 0.01, 'classify__gamma': 0.9, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.90962962963 --- {'classify__C': 71.0, 'classify__tol': 0.001, 'classify__gamma': 0.9, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.90962962963 --- {'classify__C': 71.0, 'classify__tol': 0.0001, 'classify__gamma': 0.9, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.90962962963 --- {'classify__C': 71.0, 'classify__tol': 0.01, 'classify__gamma': 1, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.90962962963 --- {'classify__C': 71.0, 'classify__tol': 0.001, 'classify__gamma': 1, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.90962962963 --- {'classify__C': 71.0, 'classify__tol': 0.0001, 'classify__gamma': 1, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.90962962963 --- {'classify__C': 72.0, 'classify__tol': 0.001, 'classify__gamma': 0.8, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.90962962963 --- {'classify__C': 72.0, 'classify__tol': 0.0001, 'classify__gamma': 0.8, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.90962962963 --- {'classify__C': 72.0, 'classify__tol': 0.001, 'classify__gamma': 0.9, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.90962962963 --- {'classify__C': 72.0, 'classify__tol': 0.0001, 'classify__gamma': 0.9, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.90962962963 --- {'classify__C': 72.0, 'classify__tol': 0.1, 'classify__gamma': 1, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.90962962963 --- {'classify__C': 72.0, 'classify__tol': 0.001, 'classify__gamma': 1, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.90962962963 --- {'classify__C': 72.0, 'classify__tol': 0.0001, 'classify__gamma': 1, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.90962962963 --- {'classify__C': 72.0, 'classify__tol': 0.01, 'classify__gamma': 1.1, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.90962962963 --- {'classify__C': 72.0, 'classify__tol': 0.001, 'classify__gamma': 1.1, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.90962962963 --- {'classify__C': 72.0, 'classify__tol': 0.0001, 'classify__gamma': 1.1, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.90962962963 --- {'classify__C': 73.0, 'classify__tol': 0.1, 'classify__gamma': 0.9, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.90962962963 --- {'classify__C': 73.0, 'classify__tol': 0.01, 'classify__gamma': 0.9, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.90962962963 --- {'classify__C': 73.0, 'classify__tol': 0.001, 'classify__gamma': 0.9, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.90962962963 --- {'classify__C': 73.0, 'classify__tol': 0.0001, 'classify__gamma': 0.9, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.90962962963 --- {'classify__C': 73.0, 'classify__tol': 0.01, 'classify__gamma': 1.1, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.90962962963 --- {'classify__C': 73.0, 'classify__tol': 0.001, 'classify__gamma': 1.1, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.90962962963 --- {'classify__C': 73.0, 'classify__tol': 0.0001, 'classify__gamma': 1.1, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.90962962963 --- {'classify__C': 74.0, 'classify__tol': 0.01, 'classify__gamma': 0.9, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.90962962963 --- {'classify__C': 74.0, 'classify__tol': 0.001, 'classify__gamma': 0.9, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.90962962963 --- {'classify__C': 74.0, 'classify__tol': 0.0001, 'classify__gamma': 0.9, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.90962962963 --- {'classify__C': 74.0, 'classify__tol': 0.01, 'classify__gamma': 1.1, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.90962962963 --- {'classify__C': 74.0, 'classify__tol': 0.001, 'classify__gamma': 1.1, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.90962962963 --- {'classify__C': 74.0, 'classify__tol': 0.0001, 'classify__gamma': 1.1, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.90962962963 --- {'classify__C': 75.0, 'classify__tol': 0.01, 'classify__gamma': 0.9, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.90962962963 --- {'classify__C': 75.0, 'classify__tol': 0.001, 'classify__gamma': 0.9, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.90962962963 --- {'classify__C': 75.0, 'classify__tol': 0.0001, 'classify__gamma': 0.9, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.90962962963 --- {'classify__C': 75.0, 'classify__tol': 0.01, 'classify__gamma': 1.1, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.90962962963 --- {'classify__C': 75.0, 'classify__tol': 0.001, 'classify__gamma': 1.1, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.90962962963 --- {'classify__C': 75.0, 'classify__tol': 0.0001, 'classify__gamma': 1.1, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.90962962963 --- {'classify__C': 76.0, 'classify__tol': 0.01, 'classify__gamma': 1.1, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.90962962963 --- {'classify__C': 76.0, 'classify__tol': 0.001, 'classify__gamma': 1.1, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.90962962963 --- {'classify__C': 76.0, 'classify__tol': 0.0001, 'classify__gamma': 1.1, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.90962962963 --- {'classify__C': 77.0, 'classify__tol': 0.001, 'classify__gamma': 0.8, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.90962962963 --- {'classify__C': 77.0, 'classify__tol': 0.0001, 'classify__gamma': 0.8, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.90962962963 --- {'classify__C': 77.0, 'classify__tol': 0.001, 'classify__gamma': 1, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.90962962963 --- {'classify__C': 77.0, 'classify__tol': 0.0001, 'classify__gamma': 1, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.90962962963 --- {'classify__C': 77.0, 'classify__tol': 0.1, 'classify__gamma': 1.1, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.90962962963 --- {'classify__C': 78.0, 'classify__tol': 0.001, 'classify__gamma': 0.8, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.90962962963 --- {'classify__C': 78.0, 'classify__tol': 0.0001, 'classify__gamma': 0.8, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.90962962963 --- {'classify__C': 78.0, 'classify__tol': 0.001, 'classify__gamma': 0.9, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.90962962963 --- {'classify__C': 78.0, 'classify__tol': 0.0001, 'classify__gamma': 0.9, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.90962962963 --- {'classify__C': 78.0, 'classify__tol': 0.01, 'classify__gamma': 1, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.90962962963 --- {'classify__C': 78.0, 'classify__tol': 0.001, 'classify__gamma': 1, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.90962962963 --- {'classify__C': 78.0, 'classify__tol': 0.0001, 'classify__gamma': 1, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.90962962963 --- {'classify__C': 79.0, 'classify__tol': 0.1, 'classify__gamma': 0.8, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.90962962963 --- {'classify__C': 79.0, 'classify__tol': 0.001, 'classify__gamma': 0.8, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.90962962963 --- {'classify__C': 79.0, 'classify__tol': 0.0001, 'classify__gamma': 0.8, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.90962962963 --- {'classify__C': 79.0, 'classify__tol': 0.001, 'classify__gamma': 0.9, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.90962962963 --- {'classify__C': 79.0, 'classify__tol': 0.0001, 'classify__gamma': 0.9, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.90962962963 --- {'classify__C': 80.0, 'classify__tol': 0.001, 'classify__gamma': 0.8, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.90962962963 --- {'classify__C': 80.0, 'classify__tol': 0.0001, 'classify__gamma': 0.8, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.90962962963 --- {'classify__C': 80.0, 'classify__tol': 0.001, 'classify__gamma': 0.9, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.90962962963 --- {'classify__C': 80.0, 'classify__tol': 0.0001, 'classify__gamma': 0.9, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.90962962963 --- {'classify__C': 80.0, 'classify__tol': 0.1, 'classify__gamma': 1, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
0.90962962963 --- {'classify__C': 80.0, 'classify__tol': 0.01, 'classify__gamma': 1.1, 'classify__cache_size': 4096, 'classify__kernel': 'rbf'}
